profile,repeats,mean_watts,sd_watts,mean_watts_ci95_low,mean_watts_ci95_high,mean_energy_joules_30min,mean_increment_vs_matched_idle_watts,increment_sd_watts,increment_ci95_low,increment_ci95_high,mean_max_temperature_c,mean_inference_batch_ms_median,measurement_scope
HeavyMLP,3,2.3666875896596538,0.007230762951076654,2.348725378727529,2.3846498005917787,4260.039008073239,0.031222859330343116,0.011443965733689906,0.002794472478310852,0.059651246182375384,35.537,4.417835833333334,uncalibrated USB meter; user-accepted above-label 5 V supply; whole Pi load-side power
LightLR,3,2.347219335926574,0.0009322545098719117,2.344903487341571,2.349535184511577,4224.9967572229925,0.01175460559726312,0.008433995381515652,-0.00919660039142105,0.03270581158594729,34.400666666666666,1.5444198333333334,uncalibrated USB meter; user-accepted above-label 5 V supply; whole Pi load-side power
MedRF,3,2.3970255355431793,0.003806105706722535,2.3875706448218708,2.406480426264488,4314.6423854023815,0.061560805213868676,0.01184469077589433,0.032136962172418834,0.09098464825531852,34.562999999999995,30.952759333333333,uncalibrated USB meter; user-accepted above-label 5 V supply; whole Pi load-side power
TinyDT,3,2.353131742819268,0.004276089261664858,2.3425093482251844,2.363754137413352,4235.639493371906,0.01766701248995739,0.01172429213507677,-0.011457743747383606,0.046791768727298386,35.37466666666666,1.2979595000000002,uncalibrated USB meter; user-accepted above-label 5 V supply; whole Pi load-side power
idle,3,2.3354647303293112,0.008068798695891265,2.3154207231996247,2.355508737458998,4203.828548948106,0.0,0.0,0.0,0.0,34.23833333333334,,uncalibrated USB meter; user-accepted above-label 5 V supply; whole Pi load-side power
