supp_block_id,run_id,method,valid,run_order,trace_id,trace_hash,config_hash,policy_hash,model_hash,device_id,start_time,end_time,duration_s,energy_j,mean_power_w,tn,fp,fn,tp,f1,recall,fpr,balanced_accuracy,inference_mean_ms,inference_p50_ms,inference_p95_ms,max_temperature_c,mean_temperature_c,runtime_switch_count,initial_selection_events,throttle_flag,undervoltage_flag,missing_power_samples,missing_windows,failure_reason,replacement_for
3,supp-lightlr-S03-p3-Static-MedRF,Static-MedRF,true,3,formal_test_37,b769823767c2fd2e0355f76bab2f22df90f82f025114a689e5df2cfb660371c0,59e184f6b0c7a8f6e47190dbd4e072857fe0d67d13cfea147c4579251063e618,,35bc9b8674c5ae3b7c163ab29d7fd3d3abfe61dfaa1d26323530f9d14a2b2688,Pi4 CPU 100000005368e39d; KM003C SN 075356,1788824793.569251,1788825293.5765758,500.0073247704995,1204.4823198626248,2.4089293500159727,32278,522,60,17140,0.9833056049566865,0.9965116279069768,0.015914634146341464,0.9902984968803177,33.307064348,30.570251499999998,38.6748299,30.667,29.205026,1,1,false,false,0,0,,
3,supp-lightlr-S03-p4-DQN,DQN,true,4,formal_test_37,b769823767c2fd2e0355f76bab2f22df90f82f025114a689e5df2cfb660371c0,59e184f6b0c7a8f6e47190dbd4e072857fe0d67d13cfea147c4579251063e618,123c380bb3d78c9ac8d34614eb1f0fcc30caaee79b420a78652f39c90a88a471,multiple_resident_models_bound_in_runtime_manifest,Pi4 CPU 100000005368e39d; KM003C SN 075356,1788825309.075702,1788825809.0708385,499.9951364794997,1193.3265070853856,2.3866762294683106,32350,450,589,16611,0.9696739733224367,0.9657558139534884,0.013719512195121951,0.9760181508791832,1.465036342,1.4628625,1.5096094,31.641,29.13782,1,1,false,false,0,0,,
4,supp-lightlr-S04-p1-Tabular-Q,Tabular-Q,true,1,formal_test_53,365b56336daa68045fa081be03b3d5044b4987c0f737564a78168c67af4ee3cc,59e184f6b0c7a8f6e47190dbd4e072857fe0d67d13cfea147c4579251063e618,a89c52c9839fe4c97bbd81cdc97cd9d4bd58c9dab8a42dda728c225855501c17,multiple_resident_models_bound_in_runtime_manifest,Pi4 CPU 100000005368e39d; KM003C SN 075356,1788825822.867146,1788826322.8614595,499.99431350049963,1194.4651495361672,2.3889574686832384,32361,439,594,16606,0.9698350124105709,0.9654651162790697,0.013384146341463414,0.9760404849688031,1.432606386,1.426326,1.4983245,31.641,29.136846000000002,1,1,false,false,0,0,,
4,supp-lightlr-S04-p2-DQN,DQN,true,2,formal_test_53,365b56336daa68045fa081be03b3d5044b4987c0f737564a78168c67af4ee3cc,59e184f6b0c7a8f6e47190dbd4e072857fe0d67d13cfea147c4579251063e618,123c380bb3d78c9ac8d34614eb1f0fcc30caaee79b420a78652f39c90a88a471,multiple_resident_models_bound_in_runtime_manifest,Pi4 CPU 100000005368e39d; KM003C SN 075356,1788826337.919769,1788826837.9145606,499.99479152099957,1201.156096384991,2.402337217815884,32361,439,594,16606,0.9698350124105709,0.9654651162790697,0.013384146341463414,0.9760404849688031,1.443390352,1.451103,1.5159790499999999,31.641,29.253726,1,1,false,false,0,0,,
4,supp-lightlr-S04-p3-Static-MedRF,Static-MedRF,true,3,formal_test_53,365b56336daa68045fa081be03b3d5044b4987c0f737564a78168c67af4ee3cc,59e184f6b0c7a8f6e47190dbd4e072857fe0d67d13cfea147c4579251063e618,,35bc9b8674c5ae3b7c163ab29d7fd3d3abfe61dfaa1d26323530f9d14a2b2688,Pi4 CPU 100000005368e39d; KM003C SN 075356,1788826851.6263711,1788827351.6266766,500.00030552099906,1204.8533819373758,2.4097052914436157,32295,505,50,17150,0.9840768899727443,0.997093023255814,0.015396341463414634,0.9908483408961997,31.311778942,29.8912255,38.13230775,31.154,29.341386,1,1,false,false,0,0,,
4,supp-lightlr-S04-p4-Static-LightLR,Static-LightLR,true,4,formal_test_53,365b56336daa68045fa081be03b3d5044b4987c0f737564a78168c67af4ee3cc,59e184f6b0c7a8f6e47190dbd4e072857fe0d67d13cfea147c4579251063e618,,a6cafb1426058f0268dd9da065fa3848b95c0a5531b3ec5c1b65987e5ca5268f,Pi4 CPU 100000005368e39d; KM003C SN 075356,1788827364.902205,1788827864.9041827,500.00197764600125,1191.858015927339,2.3837066035990127,32361,439,594,16606,0.9698350124105709,0.9654651162790697,0.013384146341463414,0.9760404849688031,1.424249166,1.4206794999999999,1.4500998999999999,31.154,29.205026,1,1,false,false,0,0,,
5,supp-lightlr-S05-p1-Static-MedRF,Static-MedRF,true,1,formal_test_71,53f4e7e734c7b39cad04e3a35323b0389a84764e20cc584f525a34b2688526d0,59e184f6b0c7a8f6e47190dbd4e072857fe0d67d13cfea147c4579251063e618,,35bc9b8674c5ae3b7c163ab29d7fd3d3abfe61dfaa1d26323530f9d14a2b2688,Pi4 CPU 100000005368e39d; KM003C SN 075356,1788827878.185075,1788828378.1812904,499.99621533299796,1200.7573337611057,2.401532845526441,32285,515,51,17149,0.9837654887563102,0.9970348837209302,0.015701219512195122,0.9906668321043675,31.948976122,30.072584,38.5500078,31.154,29.494304,1,1,false,false,0,0,,
5,supp-lightlr-S05-p2-Static-LightLR,Static-LightLR,true,2,formal_test_71,53f4e7e734c7b39cad04e3a35323b0389a84764e20cc584f525a34b2688526d0,59e184f6b0c7a8f6e47190dbd4e072857fe0d67d13cfea147c4579251063e618,,a6cafb1426058f0268dd9da065fa3848b95c0a5531b3ec5c1b65987e5ca5268f,Pi4 CPU 100000005368e39d; KM003C SN 075356,1788828391.329397,1788828891.3298323,500.00043525,1193.4795288724981,2.386956979898945,32345,455,591,16609,0.9694723324772355,0.9656395348837209,0.013871951219512195,0.9758837918321044,1.512857384,1.5074640000000001,1.5572972,31.154,29.426124,1,1,false,false,0,0,,
5,supp-lightlr-S05-p3-Tabular-Q,Tabular-Q,true,3,formal_test_71,53f4e7e734c7b39cad04e3a35323b0389a84764e20cc584f525a34b2688526d0,59e184f6b0c7a8f6e47190dbd4e072857fe0d67d13cfea147c4579251063e618,a89c52c9839fe4c97bbd81cdc97cd9d4bd58c9dab8a42dda728c225855501c17,multiple_resident_models_bound_in_runtime_manifest,Pi4 CPU 100000005368e39d; KM003C SN 075356,1788828904.620987,1788829404.622186,500.00119906250256,1194.1206070114717,2.3882354867357045,32345,455,591,16609,0.9694723324772355,0.9656395348837209,0.013871951219512195,0.9758837918321044,1.500176318,1.4973345,1.5450874499999998,31.154,29.520602,1,1,false,false,0,0,,
5,supp-lightlr-S05-p4-DQN,DQN,true,4,formal_test_71,53f4e7e734c7b39cad04e3a35323b0389a84764e20cc584f525a34b2688526d0,59e184f6b0c7a8f6e47190dbd4e072857fe0d67d13cfea147c4579251063e618,123c380bb3d78c9ac8d34614eb1f0fcc30caaee79b420a78652f39c90a88a471,multiple_resident_models_bound_in_runtime_manifest,Pi4 CPU 100000005368e39d; KM003C SN 075356,1788829419.866079,1788829919.8686457,500.0025666875008,1195.8496105613324,2.3916869436966963,32345,455,591,16609,0.9694723324772355,0.9656395348837209,0.013871951219512195,0.9758837918321044,1.460114862,1.4556230000000001,1.4974467999999999,31.641,29.659884,1,1,false,false,0,0,,
