split,method,rows,escalation_fraction,f1,recall,fpr,balanced_accuracy,tn,fp,fn,tp
validation,Static-LightLR,250000,0.0,0.983418727558801,0.992046511627907,0.013371951219512195,0.9893372802041974,161807,2193,684,85316
validation,Static-MedRF,250000,1.0,0.9829868762477921,0.9933139534883721,0.01452439024390244,0.9893947816222348,161618,2382,575,85425
validation,"ConfidenceCascade[0.3,0.7]",250000,0.005984,0.9802772895918765,0.9923255813953489,0.016914634146341465,0.9877054736245037,161226,2774,660,85340
test,Static-LightLR,500000,0.0,0.9704389526743209,0.9670988372093023,0.01364329268292683,0.9767277722631877,323525,4475,5659,166341
test,Static-MedRF,500000,1.0,0.9838636083187217,0.9966395348837209,0.01538109756097561,0.9906292186613727,322955,5045,578,171422
test,"ConfidenceCascade[0.3,0.7]",500000,0.013388,0.9839097263991573,0.9938546511627907,0.013823170731707317,0.9900157402155416,323466,4534,1057,170943
