method,valid_runs,mean_energy_j,mean_power_w,mean_preceding_idle_power_w,mean_idle_adjusted_power_w,mean_f1,mean_recall,mean_fpr,mean_balanced_accuracy
ConfidenceCascade_0p3_0p7,10,1368.3260503265878,2.7366607131830865,2.6860723652136116,0.05058834796947487,0.9839099331614078,0.9938546511627907,0.013823170731707317,0.9900157402155417
Static-LightLR,10,1360.3737732256757,2.7207440914243257,2.6837903867613218,0.03695370466300409,0.9704386431074035,0.9670988372093023,0.01364329268292683,0.9767277722631877
Static-MedRF,10,1368.5954467137685,2.737184971221781,2.6806629775016186,0.05652199372016202,0.9838638078329257,0.9966395348837209,0.01538109756097561,0.9906292186613727
Tabular-Q,10,1361.98854934883,2.7239781079839154,2.6843181757454113,0.03965993223850406,0.9704386431074035,0.9670988372093023,0.01364329268292683,0.9767277722631877
