method,valid_runs,mean_energy_j,mean_power_w,mean_preceding_idle_power_w,mean_idle_adjusted_power_w,mean_f1,mean_recall,mean_fpr,mean_balanced_accuracy
ConfidenceCascade_0p3_0p7,10,1448.1091802252047,2.8962196866731666,2.6448438363048394,0.2513758503683273,0.9901711064788185,0.9940789093825181,0.013639271575613619,0.9902198189034522
DQN,10,1461.0625818474869,2.9221272351400653,2.8003776472824806,0.12174958785758472,0.9763283283390528,0.9668044907778669,0.013512589073634205,0.9766459508521164
DeadlineGuard,10,1424.397324915402,2.8487963923190645,2.6821037621377024,0.16669263018136204,0.9768842233886672,0.967959582999198,0.013594299287410926,0.9771826418558935
Static-LightLR,10,1416.8468870421325,2.8336810586003196,2.681148673831117,0.15253238476920267,0.9763283283390528,0.9668044907778669,0.013512589073634205,0.9766459508521164
Static-MedRF,10,1468.1111253824702,2.936216581288824,2.6850755260782795,0.2511410552105447,0.9906168208745685,0.9964901363271852,0.015173079968329374,0.990658528179428
Tabular-Q,10,1400.9228821872848,2.8018406042499833,2.663095068226525,0.1387455360234581,0.7433889358612379,0.9975605453087409,0.6775645288994457,0.6599980082046476
